Family,replacement
aracaceae,arecaceae
aceraceae,sapindaceae
caesalpinaceae,fabaceae
caesalpiniaceae,fabaceae
cannabinaceae,cannabaceae
campanulaceae lobeliaceae,campanulaceae
cesalpinaceae,fabaceae
compositae,asteraceae
compsitae,asteraceae
cruciferae,brassicaceae
cupressoideae,cupressaceae
fabaceae:caesal.,fabaceae
fabaceae:faboid.,fabaceae
fabaceae:mimos.,fabaceae
fabaceae:papil.,fabaceae
fabaceae/caes.,fabaceae
fabaceae/mim.,fabaceae
graminae,poaceae
gramineae,poaceae
labiatae,lamiaceae
lridaceae,iridaceae
mimosaceae,fabaceae
palmae,arecaceae
punicaceae,lythraceae
ranuncalaceae,ranunculaceae
tiliaceae,malvaceae
umbelliferae,apiaceae
valerianaceae,caprifoliaceae
voschysiaceae,vochysiaceae