species_try,species,genus,family,cotyledon,pattern_cp,source_pattern
Chamaecyparis lawsoniana,Chamaecyparis lawsoniana,Chamaecyparis,Cupressaceae,Gymnosperm,P,"Chesnoy, 1969"
Platycladus orientalis,Platycladus orientalis,Platycladus,Cupressoideae,Gymnosperm,P,"Chesnoy, 1969"
Platycladus orientalis,Biota orientalis,Biota,Cupressaceae,Gymnosperm,P,"Chesnoy, 1969"
Acer rubrum,Acer rubrum,Acer,Aceraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Aconitum carmichaeli,Aconitum arendsii,Aconitum,Ranunculaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Allium cepa,Allium cepa,Allium,Liliaceae,Monocot,M,"Corriveau and Coleman, 1988"
Aloe brevifolia,Aloe brevifolia,Aloe,Liliaceae,Monocot,M,"Corriveau and Coleman, 1988"
Alopecurus pratensis,Alopecurus pratensis,Alopecurus,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Althaea officinalis,Althaea officinalis,Althaea,Malvaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Anthoxanthum odoratum,Anthoxanthum odoratum,Anthoxanthum,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Antirrhinum majus,Antirrhinum majus,Antirrhinum,Scrophulariaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Apios americana,Apios americana,Apios,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Aquilegia canadensis,Aquilegia canadensis,Aquilegia,Ranunculaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Arabidopsis thaliana,Arabidopsis thaliana,Arabidopsis,Brassicaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Arabis caucasica,Arabis albida,Arabis,Brassicaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Arachis hypogaea,Arachis hypogaea,Arachis,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Aristolochia littoralis,Aristolochia elegans,Aristolochia,Aristolochiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Artemisia absinthium,Artemisia absinthium,Artemisia,Asteraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Asclepias syriaca,Asclepias syriaca,Asclepias,Asclepiadaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Astragalus cicer,Astragalus cicer,Astragalus,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Atropa belladonna,Atropa belladonna,Atropa,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Avena sativa,Avena sativa,Avena,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Beta vulgaris,Beta vulgaris,Beta,Chenopodiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Brassica napus,Brassica napus,Brassica,Brassicaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Broughtonia sanguinea,Broughtonia sanguinea,Broughtonia,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Calliandra eriophylla,Calliandra eriophylla,Calliandra,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Camellia sinensis,Camellia sinensis,Camellia,Theaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Campanula alliariifolia,Campanula alliariifolia,Campanula,Campanulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Campanula carpatica,Campanula carpatica,Campanula,Campanulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Campanula rapunculoides,Campanula rapunculoides,Campanula,Campanulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Campsis radicans,Campsis radicans,Campsis,Bignoniaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Capsicum annuum,Capsicum annuum,Capsicum,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Ceratostigma plumbaginoides,Plumbago larpentae,Plumbago,Plumbaginaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Cercis canadensis,Cercis canadensis,Cercis,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Chelidonium majus,Chelidonium majus,Chelidonium,Papaveraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Chenopodium album,Chenopodium album,Chenopodium,Chenopodiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Chlorophytum capense,Chlorophytum elatum,Chlorophytum,Liliaceae,Monocot,B,"Corriveau and Coleman, 1988"
Chlorophytum comosum,Chlorophytum comosum,Chlorophytum,Liliaceae,Monocot,B,"Corriveau and Coleman, 1988"
Cicer arietinum,Cicer arietinum,Cicer,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Cichorium intybus,Cichorium intybus,Cichorium,Asteraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Citrus aurantium,Citris aurantium,Citris,Rutaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Cleome spinosa,Cleome spinosa,Cleome,Capparaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Cocculus laurifolius,Cocculus laurifolius,Cocculus,Menispermaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Coffea arabica,Coffea arabica,Coffea,Rubiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Coix lacryma-jobi,Coix lacryma-jobi,Coix,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Cornus florida,Comus florida,Comus,Cornaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Cucumis sativus,Cucumis sativus,Cucumis,Cucurbitaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Cymbalaria muralis,Cymbalaria muralis,Cymbalaria,Scrophulariaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Cypripedium acaule,Cypripedium acaule,Cypripedium,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Datura stramonium,Datura stramonium,Datura,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Daucus carota,Daucus carota,Daucus,Apiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Dendrobium acinaciforme,Dendrobium acinaciforme,Dendrobium,Orchidaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Digitaria ischaemum,Digitaria ischaemum,Digitaria,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Dionaea muscipula,Dionaea muscipula,Dionaea,Droseraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Drosera capillaris,Drosera capillaris,Drosera,Droseraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Echinocereus engelmannii,Echinocereus engelmannii,Echinocereus,Cactaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Echinochloa muricata,Echinochloa pungens,Echinochloa,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Echium vulgare,Echium vulgare,Echium,Boraginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Encyclia tampensis,Epidendrum tampense,Epidendrum,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Epilobium angustifolium,Epilobium augustifolium,Epilobium,Onagraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Eschscholzia californica,Eschscholzia californica,Eschscholzia,Papaveraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Euphorbia pulcherrima,Euphorbia pulcherrima,Euphorbia,Euphorbiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Fagopyrum esculentum,Fagopyrum esculentum,Fagopyrum,Polygonaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Fenestraria rhopalophylla,Fenestraria rhopalophylla,Fenestraria,Aizoaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Foeniculum vulgare,Foeniculum vulgare,Foeniculum,Apiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Gentiana punctata,Gentiana punctata,Gentiana,Gentianaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Geranium maculatum,Geranium maculatum,Geranium,Geraniaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Geranium pratense,Geranium pratense,Geranium,Geraniaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Geranium sanguineum,Geranium sanguineum,Geranium,Geraniaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Glycine canescens,Glycine canescens,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine clandestina,Glycine clandestina,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine falcata,Glycine falcata,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine max,Glycine max,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine microphylla,Glycine microphylla,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine soja,Glycine soja,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine tabacina,Glycine latifolia,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine tabacina,Glycine tabacina,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Glycine tomentella,Glycine tomentella,Glycine,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Gossypium hirsutum,Gossypium hirsutum,Gossypium,Malvaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Grindelia squarrosa,Grindelia squarrosa,Grindelia,Asteraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hamamelis virginiana,Hamamelis virginiana,Hamamelis,Hamamelidaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Helianthus annuus,Helianthus annuus,Helianthus,Asteraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hemerocallis fulva,Hemerocallis fulva,Hemerocallis,Liliaceae,Monocot,M,"Corriveau and Coleman, 1988"
Hibiscus syriacus,Hibiscus syriacus,Hibiscus,Malvaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hordeum vulgare,Hordeum vulgare,Hordeum,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Hydrangea arborescens,Hydrangea arborescens,Hydrangea,Hydrangeaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hydrophyllum virginianum,Hydrophyllum virginianum,Hydrophyllum,Hydrophyllaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hymenosporum flavum,Hymenosporum jlavum,Hymenosporum,Pittosporaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hyoscyamus niger,Hyoscyamus niger,Hyoscyamus,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Hypericum perforatum,Hypericum perforatum,Hypericum,Clusiaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Impatiens capensis,Impatiens capensis,Impatiens,Balsaminaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Ipomoea nil,Ipomoea nil,Ipomoea,Convolvulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Iris versicolor,Iris versicolor,Iris,lridaceae,Monocot,M,"Corriveau and Coleman, 1988"
Justicia brandegeeana,Beloperone guttata,Beloperone,Acanthaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Kalanchoe daigremontiana,Kalanchoe daigremontiana,Kalanchoe,Crassulaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lathyrus japonicus,Lathyrus japonicus,Lathyrus,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Lathyrus odoratus,Lathyrus odoratus,Lathyrus,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Lens culinaris,Lens culinaris,Lens,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lepidium virginicum,Lepidium virginicum,Lepidium,Brassicaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lilium superbum,Lilium superbum,Lilium,Liliaceae,Monocot,M,"Corriveau and Coleman, 1988"
Limonium carolinianum,Limonium carolinianum,Limonium,Plumbaginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Linaria vulgaris,Linaria vulgaris,Linaria,Scrophulariaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Linnaea borealis,Linnaea borealis,Linnaea,Caprifoliaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Linum usitatissimum,Linum usitatissimum,Linum,Linaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Liriodendron tulipifera,Liriodendron tulipifera,Liriodendron,Magnoliaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lobelia syphilitica,Lobelia syphilitica,Lobelia,Campanulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Lolium perenne,Lolium perenne,Lolium,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Lonicera japonica,Lonicera japonica,Lonicera,Caprifoliaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Lotus corniculatus,Lotus corniculatus,Lotus,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lupinus perennis,Lupinus perennis,Lupinus,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lycopersicon esculentum,Lycopersicon esculentum,Lycopersicon,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Lysimachia clethroides,Lysimachia clethroides,Lysimachia,Primulaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Manihot esculenta,Manihot esculenta,Manihot,Euphorbiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Medicago sativa,Medicago sativa,Medicago,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Melilotus albus,Melilotus alba,Melilotus,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Melilotus indicus,Melilotus indica,Melilotus,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Melilotus officinalis,Melilotus officinalis,Melilotus,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Mentha verticillata,Mentha verticillata,Mentha,Lamiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Mirabilis jalapa,Mirabilis jalapa,Mirabilis,Nyctaginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Monarda fistulosa,Monarda fistulosa,Monarda,Lamiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Monstera deliciosa,Monstera deliciosa,Monstera,Araceae,Monocot,M,"Corriveau and Coleman, 1988"
Morus alba,Morus alba,Morus,Moraceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nepeta cataria,Nepeta cataria,Nepeta,Lamiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nerine sarniensis,Nerine curvifolia,Nerine,Liliaceae,Monocot,M,"Corriveau and Coleman, 1988"
Nicotiana glauca,Nicotiana glauca,Nicotiana,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nicotiana glutinosa,Nicotiana glutinosa,Nicotiana,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nicotiana rustica,Nicotiana rustica,Nicotiana,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nicotiana tabacum,Nicotiana tabacum,Nicotiana,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nicotiana trigonophylla,Nicotiana trigonophylla,Nicotiana,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nigella damascena,Nigella damescena,Nigella,Ranunculaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Nymphaea colorata,Nymphaea colorata,Nymphaea,Nymphaeaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Oenothera biennis,Oenothera biennis,Oenothera,Onagraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Oenothera elata ssp. hookeri,Oenothera hookeri,Oenothera,Onagraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Oenothera macrosceles,Oenothera macrosceles,Oenothera,Onagraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Oenothera oakesiana,Oenothera ammophila,Oenothera,Onagraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Oenothera perennis,Oenothera perennis,Oenothera,Onagraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Opuntia basilaris,Opuntia basilaris,Opuntia,Cactaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Opuntia engelmannii,Opuntia engelmannii,Opuntia,Cactaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Opuntia humifusa,Opuntia vulgaris,Opuntia,Cactaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Origanum vulgare,Origanum vulgare,Origanum,Lamiaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Oryza sativa,Oryza sativa,Oryza,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Oxalis stricta,Oxalis europaea,Oxalis,Oxalidaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Panicum miliaceum,Panicum miliaceum,Panicum,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Paphiopedilum micranthum,Paphiopedilum micranthum,Paphiopedilum,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Parkinsonia aculeata,Parkinsonia aculeata,Parkinsonia,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Passiflora edulis,Passiflora edulis,Passiflora,Passifloraceae,Eudicot,B,"Corriveau and Coleman, 1988"
Pelargonium peltatum,Pelargonium peltatum,Pelargonium,Geraniaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Pelargonium x hortorum,P. _ hortorum (zonale),P.,Geraniaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Petunia hybrida,Petunia hybrida,Petunia,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Phaseolus aureus,Phaseolus aureus,Phaseolus,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Phaseolus vulgaris,Phaseolus vulgaris,Phaseolus,Fabaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Phleum pratense,Phleum pratense,Phleum,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Phlox divaricata,Phlox divaricata,Phlox,Polemoniaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Phoenix roebelenii,Phoenix roebelenii,Phoenix,Arecaceae,Monocot,M,"Corriveau and Coleman, 1988"
Phragmipedium longifolium,Phragmipedium longifolium,Phragmipedium,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Phragmipedium warszewiczianum,Phragmipedium warscewiczianum,Phragmipedium,Orchidaceae,Monocot,M,"Corriveau and Coleman, 1988"
Physalis alkekengi,Physalis alkekengi,Physalis,Solanaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Phytolacca americana,Phytolacca americana,Phytolacca,Phytolaccaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Pisum sativum,Pisum sativum,Pisum,Fabaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Plantago indica,Plantago psyllium,Plantago,Plantaginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Plantago lanceolata,Plantago lanceolata,Plantago,Plantaginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Plantago major,Plantago major,Plantago,Plantaginaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Platycodon grandiflorus,Platycodon grandiflorum,Platycodon,Campanulaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Plumbago auriculata,Plumbago auriculata,Plumbago,Plumbaginaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Plumbago auriculata,Plumbago capensis,Plumbago,Plumbaginaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Plumbago zeylanica,Plumbago zeylanica,Plumbago,Plumbaginaceae,Eudicot,B,"Corriveau and Coleman, 1988"
Plumeria rubra,Plumeria rubra,Plumeria,Apocynaceae,Eudicot,M,"Corriveau and Coleman, 1988"
Poa pratensis,Poa pratensis,Poa,Poaceae,Monocot,M,"Corriveau and Coleman, 1988"
Pyracantha coccinea,Pyracantha coccinea,Pyracantha,Rosaceae,Eudicot,M,"Corriveau and Coleman, 1988"
